sample_id,source_file_id,row_id,label,label_name,condition_id,sensor_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,angle_z
S00000096,file_0001,96,1,abnormal,condition_00,sensor_00,-0.3377,0.3494,-0.6354,-0.6982,-0.5628,0.029,0.6176,0.4943,0.7402
S00000097,file_0001,97,1,abnormal,condition_00,sensor_00,-0.4933,0.4921,-0.6647,0.0081,0.0499,1.6649,0.6143,0.4943,0.7351
S00000098,file_0001,98,1,abnormal,condition_00,sensor_00,-0.4933,0.5216,-0.6534,0.0192,-0.0813,0.029,0.6148,0.4943,0.7351
S00000099,file_0001,99,1,abnormal,condition_00,sensor_00,-0.5127,0.5216,-0.6602,0.0248,0.0499,0.847,0.615,0.4943,0.7341
S00000100,file_0001,100,1,abnormal,condition_00,sensor_00,-0.5516,0.497,-0.6624,0.0359,0.0499,0.029,0.6152,0.4943,0.7341
S00000101,file_0001,101,1,abnormal,condition_00,sensor_00,-0.4738,0.497,-0.6534,0.0359,-0.0157,0.029,0.6154,0.4943,0.7333
S00000102,file_0001,102,1,abnormal,condition_00,sensor_00,-0.4738,0.5068,-0.6579,0.0359,0.0062,-0.789,0.6154,0.4943,0.7333
S00000103,file_0001,103,1,abnormal,condition_00,sensor_00,-0.5321,0.4871,-0.6692,0.0248,0.028,0.029,0.6154,0.4922,0.7333
S00000104,file_0001,104,1,abnormal,condition_00,sensor_00,-0.4738,0.5068,-0.6534,0.0137,0.028,0.029,0.6152,0.4922,0.7333
S00000105,file_0001,105,1,abnormal,condition_00,sensor_00,-0.3572,0.5265,-0.6444,0.0192,0.028,1.6649,0.615,0.4922,0.7324
S00000106,file_0001,106,1,abnormal,condition_00,sensor_00,-0.4349,0.5068,-0.6647,0.0248,0.0499,0.029,0.615,0.4922,0.7333
S00000107,file_0001,107,1,abnormal,condition_00,sensor_00,-0.5516,0.5117,-0.6692,0.0303,0.0499,0.029,0.6148,0.4922,0.7324
S00000108,file_0001,108,1,abnormal,condition_00,sensor_00,-0.4738,0.5167,-0.6444,0.0192,0.0718,0.029,0.6145,0.4922,0.7324
S00000109,file_0001,109,1,abnormal,condition_00,sensor_00,-0.4933,0.5068,-0.6489,0.0192,0.0062,0.029,0.6145,0.4922,0.7324
S00000110,file_0001,110,1,abnormal,condition_00,sensor_00,-0.5516,0.5117,-0.6669,0.0192,0.0062,0.029,0.6143,0.4922,0.7324
S00000111,file_0001,111,1,abnormal,condition_00,sensor_00,-0.4738,0.5068,-0.6489,0.0192,0.028,0.029,0.6139,0.4922,0.7316
S00000112,file_0001,112,1,abnormal,condition_00,sensor_00,-0.4544,0.497,-0.6579,0.0248,0.028,0.029,0.6137,0.4922,0.7316
S00000113,file_0001,113,1,abnormal,condition_00,sensor_00,-0.4933,0.5019,-0.6534,0.0359,0.0499,0.029,0.6135,0.4922,0.7316
S00000114,file_0001,114,1,abnormal,condition_00,sensor_00,-0.5127,0.5117,-0.6602,0.0137,0.0499,0.029,0.6131,0.4922,0.7307
S00000115,file_0001,115,1,abnormal,condition_00,sensor_00,-0.4544,0.5167,-0.6534,0.0303,0.0062,0.029,0.6128,0.4922,0.7307
S00000116,file_0001,116,1,abnormal,condition_00,sensor_00,-0.4933,0.5068,-0.6489,0.0192,0.028,0.029,0.6126,0.4922,0.7299
S00000117,file_0001,117,1,abnormal,condition_00,sensor_00,-0.4544,0.5167,-0.6647,0.0192,0.0499,0.029,0.6124,0.4922,0.7299
S00000118,file_0001,118,1,abnormal,condition_00,sensor_00,-0.4738,0.5413,-0.6602,-0.0419,-0.0376,0.029,0.6117,0.4922,0.7299
S00000119,file_0001,119,1,abnormal,condition_00,sensor_00,-0.4544,0.497,-0.6421,-0.0642,-0.0813,0.029,0.6094,0.4943,0.7265
S00000120,file_0001,120,1,abnormal,condition_00,sensor_00,-0.5321,0.5314,-0.6602,-0.092,-0.0594,0.029,0.607,0.4943,0.7247
S00000121,file_0001,121,1,abnormal,condition_00,sensor_00,-0.6294,0.5855,-0.6444,-0.2811,-0.2563,0.029,0.603,0.4981,0.7204
S00000122,file_0001,122,1,abnormal,condition_00,sensor_00,-0.3766,0.5757,-0.6309,-0.7259,-0.6721,0.029,0.5907,0.5036,0.7066
S00000123,file_0001,123,1,abnormal,condition_00,sensor_00,-0.571,0.5117,-0.6106,-0.7204,-0.7378,0.029,0.5761,0.5112,0.6904
S00000124,file_0001,124,1,abnormal,condition_00,sensor_00,-0.4544,0.6741,-0.6241,-0.9539,-1.0662,0.029,0.5594,0.5209,0.6707
S00000125,file_0001,125,1,abnormal,condition_00,sensor_00,-0.5127,0.4724,-0.5475,-1.4099,-1.4379,0.029,0.5351,0.5323,0.6432
S00000126,file_0001,126,1,abnormal,condition_00,sensor_00,-0.4933,0.6397,-0.5611,-1.5322,-1.5695,0.029,0.5058,0.5455,0.6105
S00000127,file_0001,127,1,abnormal,condition_00,sensor_00,-0.7071,0.62,-0.516,-1.421,-1.4817,0.029,0.4772,0.5569,0.5762
S00000128,file_0001,128,1,abnormal,condition_00,sensor_00,-0.3377,0.5806,-0.48,-1.4989,-1.5476,0.029,0.4485,0.5683,0.5427
S00000129,file_0001,129,1,abnormal,condition_00,sensor_00,-0.8238,0.6446,-0.4372,-1.4432,-1.4379,0.029,0.4208,0.5759,0.5093
S00000130,file_0001,130,1,abnormal,condition_00,sensor_00,-0.8432,0.5413,-0.4011,-1.4265,-1.4598,0.029,0.3927,0.5856,0.4766
S00000131,file_0001,131,1,abnormal,condition_00,sensor_00,-0.571,0.5806,-0.3696,-1.4599,-1.4817,0.029,0.3652,0.5932,0.444
S00000132,file_0001,132,1,abnormal,condition_00,sensor_00,-0.5321,0.6446,-0.3674,-1.4488,-1.4817,0.029,0.3375,0.5987,0.4106
S00000133,file_0001,133,1,abnormal,condition_00,sensor_00,-0.4933,0.6347,-0.3246,-1.5044,-1.4817,0.029,0.3096,0.6043,0.3771
S00000134,file_0001,134,1,abnormal,condition_00,sensor_00,-0.746,0.6249,-0.2683,-1.4543,-1.5258,0.029,0.2817,0.6081,0.3445
S00000135,file_0001,135,1,abnormal,condition_00,sensor_00,-0.571,0.5609,-0.2412,-1.4711,-1.4598,2.4829,0.2536,0.6101,0.311
S00000136,file_0001,136,1,abnormal,condition_00,sensor_00,-0.4155,0.7479,-0.2232,-1.4711,-1.4379,-0.789,0.2257,0.6119,0.2784
S00000137,file_0001,137,1,abnormal,condition_00,sensor_00,-0.8627,0.6003,-0.1714,-1.4265,-1.5036,2.4829,0.197,0.6119,0.2459
S00000138,file_0001,138,1,abnormal,condition_00,sensor_00,-0.6488,0.6151,-0.1489,-1.4543,-1.4161,0.029,0.1683,0.6119,0.2123
S00000139,file_0001,139,1,abnormal,condition_00,sensor_00,-0.7266,0.5806,-0.0881,-1.4432,-1.3942,0.029,0.1403,0.6119,0.1789
S00000140,file_0001,140,1,abnormal,condition_00,sensor_00,-0.4738,0.6052,-0.07,-1.4989,-1.4817,-0.789,0.1125,0.6081,0.1454
S00000141,file_0001,141,1,abnormal,condition_00,sensor_00,-0.571,0.6889,-0.0565,-1.4432,-1.5258,0.029,0.0854,0.6063,0.1128
S00000142,file_0001,142,1,abnormal,condition_00,sensor_00,-0.571,0.556,0.0201,-1.4933,-1.5036,1.6649,0.0584,0.6005,0.0793
S00000143,file_0001,143,1,abnormal,condition_00,sensor_00,-0.3572,0.8069,-0.025,-1.51,-1.4598,1.6649,0.0316,0.597,0.0467
S00000144,file_0001,144,1,abnormal,condition_00,sensor_00,-0.7849,0.62,0.0516,-1.4432,-1.4379,1.6649,0.0047,0.5911,0.014
S00000145,file_0001,145,1,abnormal,condition_00,sensor_00,-0.571,0.5708,0.0966,-1.4878,-1.5258,1.6649,-0.0227,0.5835,-0.0194
S00000146,file_0001,146,1,abnormal,condition_00,sensor_00,-0.571,0.679,0.1034,-1.4711,-1.5036,0.029,-0.0496,0.5742,-0.0521
S00000147,file_0001,147,1,abnormal,condition_00,sensor_00,-0.4933,0.1821,0.243,-1.1263,-1.1099,1.6649,-0.0766,0.5645,-0.0838
S00000148,file_0001,148,1,abnormal,condition_00,sensor_00,-0.6099,0.5462,0.1665,0.0025,-0.1032,0.847,-0.0845,0.5607,-0.0924
S00000149,file_0001,149,1,abnormal,condition_00,sensor_00,-0.5516,0.5954,0.1552,0.0025,0.0499,0.029,-0.0864,0.5607,-0.0931
S00000150,file_0001,150,1,abnormal,condition_00,sensor_00,-0.6099,0.5954,0.1732,0.0248,0.0718,0.029,-0.0873,0.5607,-0.0941
S00000151,file_0001,151,1,abnormal,condition_00,sensor_00,-0.6294,0.5954,0.1642,0.0359,0.0499,0.029,-0.0878,0.5607,-0.0949
S00000152,file_0001,152,1,abnormal,condition_00,sensor_00,-0.5516,0.5806,0.1529,0.0303,0.0062,0.029,-0.0878,0.5628,-0.0941
S00000153,file_0001,153,1,abnormal,condition_00,sensor_00,-0.6294,0.5954,0.1665,0.0359,0.0936,0.029,-0.0877,0.5628,-0.0949
S00000154,file_0001,154,1,abnormal,condition_00,sensor_00,-0.6294,0.5806,0.1574,0.0359,0.0499,0.847,-0.0877,0.5628,-0.0949
S00000155,file_0001,155,1,abnormal,condition_00,sensor_00,-0.571,0.5905,0.1687,0.0248,0.0499,-0.789,-0.0875,0.5628,-0.0949
S00000156,file_0001,156,1,abnormal,condition_00,sensor_00,-0.2794,0.7725,0.1462,-0.0809,-0.0813,0.029,-0.0875,0.5628,-0.0949
S00000157,file_0001,157,1,abnormal,condition_00,sensor_00,-0.5127,0.5855,0.1574,-0.0476,0.028,0.847,-0.0884,0.5628,-0.0958
S00000158,file_0001,158,1,abnormal,condition_00,sensor_00,-0.6294,0.6151,0.1529,-0.0364,0.028,1.6649,-0.0895,0.5628,-0.0975
S00000159,file_0001,159,1,abnormal,condition_00,sensor_00,-0.6488,0.5905,0.1822,-0.0419,-0.0157,-1.6069,-0.0907,0.5645,-0.0992
S00000160,file_0001,160,1,abnormal,condition_00,sensor_00,-0.6488,0.5855,0.1822,-0.0364,-0.0157,0.029,-0.0918,0.5645,-0.101
S00000161,file_0001,161,1,abnormal,condition_00,sensor_00,-0.6099,0.5708,0.1687,-0.0419,-0.0594,0.029,-0.0927,0.5645,-0.1027
S00000162,file_0001,162,1,abnormal,condition_00,sensor_00,-0.5321,0.5609,0.1822,-0.0587,-0.0376,0.029,-0.094,0.5645,-0.1052
S00000163,file_0001,163,1,abnormal,condition_00,sensor_00,-0.5905,0.5511,0.1867,-0.0308,-0.0376,0.029,-0.095,0.5645,-0.1069
S00000164,file_0001,164,1,abnormal,condition_00,sensor_00,-0.6682,0.6298,0.162,-0.0364,-0.0157,0.029,-0.0963,0.5645,-0.1078
S00000165,file_0001,165,1,abnormal,condition_00,sensor_00,-0.6294,0.5708,0.1822,-0.0753,-0.0376,0.029,-0.0976,0.5645,-0.1095
S00000166,file_0001,166,1,abnormal,condition_00,sensor_00,-0.5905,0.5806,0.189,-0.0252,-0.0376,0.029,-0.0987,0.5645,-0.1113
S00000167,file_0001,167,1,abnormal,condition_00,sensor_00,-0.5127,0.6101,0.1867,-0.0531,-0.0376,0.029,-0.1,0.5645,-0.113
S00000168,file_0001,168,1,abnormal,condition_00,sensor_00,-0.6099,0.5511,0.1867,-0.0587,-0.0376,0.029,-0.1015,0.5645,-0.1147
S00000169,file_0001,169,1,abnormal,condition_00,sensor_00,-0.746,0.7479,0.1687,-0.3089,-0.2563,0.029,-0.1036,0.5645,-0.1181
S00000170,file_0001,170,1,abnormal,condition_00,sensor_00,-0.8432,0.6347,0.2273,-1.321,-1.1974,0.029,-0.1184,0.559,-0.1386
S00000171,file_0001,171,1,abnormal,condition_00,sensor_00,-0.2016,0.6839,0.2138,-1.421,-1.4817,0.029,-0.1416,0.5493,-0.1688
S00000172,file_0001,172,1,abnormal,condition_00,sensor_00,-0.7655,0.4724,0.2791,-1.4488,-1.4379,3.3009,-0.1674,0.5361,-0.2005
S00000173,file_0001,173,1,abnormal,condition_00,sensor_00,-0.3377,0.5462,0.3061,-1.5267,-1.5476,0.847,-0.1946,0.5209,-0.2331
S00000174,file_0001,174,1,abnormal,condition_00,sensor_00,-0.3572,0.6347,0.3061,-1.4655,-1.4817,-0.789,-0.2223,0.5074,-0.2656
S00000175,file_0001,175,1,abnormal,condition_00,sensor_00,-0.1822,0.0886,0.4052,-0.8204,-0.7815,1.6649,-0.2474,0.4922,-0.2948
S00000176,file_0001,176,1,abnormal,condition_00,sensor_00,-0.2988,0.4773,0.3827,-0.0252,-0.0157,-1.6069,-0.2515,0.4905,-0.2983
S00000177,file_0001,177,1,abnormal,condition_00,sensor_00,-0.4155,0.5314,0.3737,0.0303,0.0062,0.029,-0.2528,0.4884,-0.2992
S00000178,file_0001,178,1,abnormal,condition_00,sensor_00,-0.5321,0.5511,0.3827,0.0303,0.0718,-0.789,-0.2534,0.4884,-0.2992
S00000179,file_0001,179,1,abnormal,condition_00,sensor_00,-0.5321,0.4035,0.4007,0.0192,0.0499,0.847,-0.2534,0.4884,-0.3
